clean_text,category
impressive godrej tata complimenting our hoping gets second term ,positive
yes good job highly insensitivearrogant incompetent ploar needs defeated any costnobody knows why made such arrogant person minister gave tickethe out touch with grounddespite 3months upsc protests nvr met ,positive
before 2014 hindustan has seen the worst for hindus own maj hindu rashtra who thrashed the rascal faces these anti indian politiciansantinationals urban naxals wait watch after modis win pakistan mein bhi hindu hona garv baat hogi✌,positive
higher voting turnout directly proportional bjp victory wonder modi has launched campaigns like dont sit home ensure everyone your friends family relatives votes its now never for ,positive
with welfare delivery gst ibc and feo place modi can exit psus 2nd term and use that money appoint more judges police forensic labs and fasttrack delivery justice education and healthcare citizens and invest defence india well,positive
this the new india modi trying build with these leaders his party why have live with these deplorable characters ,negative
mistry man not then why drag modi the nri followers this the man wrong action should taken against him for spreading hatred please don’ have agenda condemning criminal activities sir fyi please,negative
think you forgot dollar india handled exceptionally well and one the diplomatic shrewdness and achievement why you always undermine modi government you are always prone criticise even without considering other aspects,positive
entrepreneurs are rising india after modi govt created system for them took care their tax concerns and created infra for them incubate well never happened congress you guys just want power sit and shit its simple for you,negative
anchor doing canvas against modi not fit for journalism,negative
will these channels say modi also scared contests from two seats even propoganda needs little decency,negative
100 sure sir will inform all family and friends give record numbers vote modi sir and bjp thanks,positive
you will loose your existance election rafel corruption free and scam free all nation know the nature except narendra modi and bjp all party scammer aap nautanki baj,positive
‘concierge’ for super rich makes unusual sight nirav modis hearing via ,positive
’ confused who said that intellectuals should decide modi’ policies the question was which intellectuals sided with modi and similarly there’ those who’ disagree with his policies too where’ the question deciding anything,negative
asked learn from how treat minority well does want what did minor ,negative
for new india can vote for shri narendra modi ,positive
not modi then who from opposition opposition leaders intent clear but dont understand why they are failing their attempt why not vote for modi they are not telling people what they will when come into power,positive
modi great his opponents generally are selfish idiots who keep attacking his governance skill modi doing great for 3040 yrs you tell what will you give oppo know after years modi rule that can wonders this stupid world created dishonest,negative
can pit more pictures and videos hindu extremist crime just years but use coz ppl are taken over storm modi and rss terror,positive
modi mother elected more khans would killed ,positive
rahul doesnt make false promises like modi has always delivered whatever has been promised you may check his track record you can count him ,negative
kitna jalte tum modi your tweet shows your jealousy towards our great prime minister modi ,positive
where ever rgis going through out the length breadth the country such the reception for him masses india just love him modi all other leaders bjp are just match,positive
mad sandip singh have some sense javed akhtar could have called narendra modi producer sandip ssingh credit row entertainment news the indian express ,negative
thanks modi porn sites are banned,positive
voted for modi last time but never again economy screwed hate ideology being propagated need not rahul but any one other than modi the next few weeks will tell there way bjp will get majority the propagandas only social media,negative
open your eyes not see any critic modi cong exculding these mongers there vast indai like called bharat modis concern security praise worthy but his autocratic norm denying each and every allegation like kimjong its painful sorrowful too regards,negative
this face doesn’ haunt you condemn the abduction girls but they’ alive and wel also recorded message still our personally ordered action unlike modi who treats muslims just vote bank,positive
sharam karodesh ghotale bech khaega tumhara just because modi youth have taken interest political issues youth are better judge the right and wrong ,positive
dont forget petrol prices have risen ₹ modi government when gulf prices were going down ाेशबचा ,negative
thought petta was the most antibjp movie recent times  ,positive
superbly summarizedjai hind vande mataramagain modi sarkar ,positive
from the very beginningmodi doing wada faramoshi you dont believe take example used say giving lakhs every indian and after years governance failed fulfill his promise ,negative
modi politics hate modiji loves india modiji want make new india corruption free terror free india hate not nature modiji yes modiji hates only enemies our country terrorists destroying terrorists camp hatedont defame our humane kind pure honest,positive
why limited here are other prefixes for twitter that perhaps more accurately capture the state the citizens ,positive
every bank company head chowkidhar protect the institution fear modi chowkidar tsunami making all the opposition frenzy had the bank chowkidar performed duty well then mallaya nirav modi wouldnt have lootedsonia looted bcoz mms was weak chowkidar,negative
people india are fed the incompetency modi govt their blatant misuse power rampant corruption misgovernance and overt lies have damaged the country,negative
modi government against corruption mob worried protect their loot will send behind bars comes the dreams looters including kejriwal ,negative
modi left his year old wife and returned her rss walay sab gay hain ,positive
mere bhai mai bhi 2010 graduate hucongress kon rojgaar faila rakha thabhai chor hai only bjp only modi for strong nation,negative
modi came power because five yrs ago the youth india were takenin his promise create jobsyr fast forward five yrs the present modi has his name lost jobs 45yrhigh unemployment ,positive
whoa has any other actor made such strong supportive statement for modi ,positive
dont judge modi and his band fake chowkidhars who are bloodthirsty and hate mongers they have talibanized the indian mindsets ,negative
agree with you was unrequired was kinda uncomfortable for her too she must thinking this was unexpected idk what say has shown enough solidarity now they should get back their normal lives  wish someone makes such offer narendra modi lol,positive
the first term prime minister won promise but the second term will have won performance not even narendra modi exception this,positive
used bjp money visit japan singapore usa for yrs and left bjp when modi asked how tdp spend bjp moneyexp details yrs political experience use increased pension dwacra yuvanestam schemes just before elections win votes,positive
hurrah welcome for chinook multi role helicopter really proud modi for right steps make strong nation urge people walk matching disciplined steps like fauji with modi for development and flying indian tiranga all our planets,positive
kunal kamra pretentious chutiya modi did more work the last five years than the braincells you have lost since your birth while smoking weed,positive
cow please fight elections for graffiti mocking modi appears bjp fails find candidates bengal ,negative
proud our priminister modi,positive
what about halala whr whole family fucks poor woman den physically and mentally handicap kids are born out due genetic depression dont worry abt progress through time think abt religion still 7th century mindset,negative
achhe din vikas black money jobs the only thing found post2014 new india ➡ modi lies ,negative
when will see your tweet for justice for you are blind fear modi rss bjp,negative
will see more such attacks hindus modi supporters ,positive
this the only chance history independent india propel into economy due mainly reforms time the dynasty ruled were just now yrs lets reach for the stars ,positive
rahul wise enough deny the absolute majority modi nda make aap cong deal and that’ the best for both the country kejriwal allow modi swee delhi with then finished for next delhi assembly too,positive
thats modi magic ghochu,positive
weak state capacity exacerbated excessive accountability because the nation always election mode fair modi did champion simultaneous elections but couldn’ get the opposition’ support comments needed what gurcharan das says here,positive
why not ask them vote for modern india modi why let even single vote waste make nda stronger centre nota,negative
modi will endup mad manlike hitler mussolini pinochet nero stalin,negative
obc pass general log pass rrb rpf constable cut off 2019 anusaryr modi hatao,positive
voting for non bjp parties would take country into forever underdeveloped these corrupt would forever spoil future next gen vote for modi alone ,negative
sapna chaudhary dancer but sonia gandhi was not bar dancer she was working bar maid per research done her which means she was waitress she was more like modi modi chaiwala she was daruwali,positive
malnutrition india and constituencies among worst affected mallikarjun kharge’ gulbarga fared worst malnutrition indicators among highprofile constituencies thiruvananthapuram best ,negative
your called comparison modi with imran clearly displays the quality raajdarbaree ness you,positive
where your hunainty when mulsim are being killed india kashmir now your humanity awaken our gov have taken action already dont worry its not modi sarkar,negative
even after having share seats delhi assembly fears and look for option tie modi fear clearly seen ,positive
wah super but simple convey general public about achievements thanks modi saab,positive
everyone known even you not known how speak politicals line innocents life hunting objections the world topmost popular may known you modi like kids help fillful normals heart ,positive
not alone evks once asked what amma and modi were doing hotel for mins didnt even have respect for their age this due the arrogance that comes from knowing the media under their control and they will never scrutinised like others,negative
tshirt problem the writing modi there thing called election campaign which every party does their own way ,positive
bjp receipt for disaster there one combined opposition candidate against the chowkidaar tadipar party they will back their task selling tea gali good throw bjp out noway they can win opposition parties aap congress maya akhilesh mamta bjd combine out modi,positive
“cow please fight elections for ” graffiti mocking modi appears bjp fails find candidates bengal ,negative
vote for educated decent leaders dont for corrupt criminals yaar you always speak against ,negative
why are you hell bent manoj tiwari just her photos came with priyanka dont you have enough candidates celebrities for campaigning reel life celebrity mentality strange modi jis developmental work his team efforts are more than enough bjp might not need sapna,positive
are baap baap every one tell gandhi family rich modi family rich,positive
sorry doc people didnt buy his dream but the convenient avenue offered lynchers castiest and religious bigots dont think indians dream for their imagination they are already above someone caste hierarchy and thats all they want ,negative
like your way thinking but really just simple that women have rights because there are female deities,positive
with modi all his drawbacks atleast know what are for but with rahul mahaghatbandhan are surely for maha mess,positive
analysis indian air chief accepted defeat still weak not capable responding defending modi jis corruption rafale makng strong case for purchasng rafale free tea for pilots india need have tea pakistan cost mig21,positive
have all these qualities modi and more strong leadership,positive
our narendra modi ordered indian air force take action within days pulbama attack after permission what were done indian air force see here ,positive
chowkidhar only for rich men did you see any chowkidhar gaurding poor house but you can find chowkidhar nirav modi house lalit modi house mallaya house,negative
trying prove your loyalty modi seems indian muslims have been trying that well don’ seem make any difference though still getting beaten their own homes and asked pakistan keep trying though may get lucky ,positive
only rahul gandhis politics love can defeat the modi politics hate its time vote for love over hate ,negative
final days modi government adani project jharkhand becomes indias first power sector sez via ,positive
reason for demonetization primarily detection black money stoppage terrorism after failure changed reason digital india even that failed too now curious see what modijaitley cooks after failure merger decision ,negative
can promise what can delivered epf pension universal health care nationalisation primary education drinking water comprehensive panindia solid waste management policy please dont tell what modi didnt tell what you can ,positive
prior modi govt took over poor people didnt access toilet crores women used cook lighting wood crore poor were left out banking sector18000 villages didnt electricity modi govt changed all this crores poor including muslims have benefitted,negative
years ago our beloved took oath take all the corrupted ministers and make india great guess what just did now all the anti indians are jealous and scared because going reelected soon modi will always win the best,positive
isn’ modi’ majoritarian hate based politics and his obsession with hindu nationalism that divides our plural nation enough reason determine your vote ,negative
modi govt’ efforts bear fruits malnutrition india down years ,negative
sir wat did till now act strongly toi read just told the officials this thing should not happen agn this acting strong according warning action gvin our lessons modi ensures ryt action ryt time,positive
takes look whether the leaders bjp and congress will venture south how crony capitalism still thrives and meet candidate who promising households ten litres brandy every month via ,positive
why picked chairman the devious aadhaar isnt his babyhe was just the face given upa2 during its term for aadhaar poised for return now chairing committee formed during modi govt with report due shortly after the next govt ,negative
sir you should also ask whether these were really made refer abp viral sach whether modi promise crore jobs per year ,positive
such ppl the reasonour and his family face filthy words from opposition sensitive time elections they must shut their mouth work more public grievances but inko fark kye padta hai gaali dain bhukte modi,negative
final days modi government adani project jharkhand becomes indias first power sector sez this will help adani save billion annually excellent story ,positive
one the comment from hardcore modi bhakt when shared postcard editor was arrested for sharing fake news now know why postcard editor was arrested becuz was speaking the truth was proindia liers how long will your lie sustain truth out the open,negative
has come new meanings nationalism hindu and supporter modi and antinational who doesnt praise the govt initiatives,positive
maybe could because hes educated and could more responsible for the people india and will understand the youngsters more which the modi doesnt seems,positive
east west modi best,positive
every thing looks good tweet for modi except the hashtag,positive
when someone asks random question economy schemesyojanas adaniambani modi dhruv tatti ,negative
share the optimism ratan tata agree modi the leader need for taking india forward this critical juncture take pride being indian first resonates with most citizens jai hind,positive
let tell you north karnataka out constituencies will dominated bjpgulbarga central karnataka davangere shivamogga chitradurga and ballary will clean sweep for bjp considering modi wave and dominance lingayat community,positive
ghanta better bring some good leaders are fed with bjp but when see rahul gandhi then think modi much better choice,positive
demon calls narendra modi demon the definitely more than just human being demi god,positive
think hindus should back off and let them suffer for their own miseries they live dieget rapedshould not our problem unless someone asks for help when they are quite with such repressive actsy should hindus bother about them let them rot say,positive
why just ten there 100 reasons vote for modi and bjp party where every leader equally contributed and commited build new india better india and modi’ team invincbleit’ countrys fortune have leader like modiit’ country wil win modi wins,positive
narendra modi more brainy than all the drswamys the world put together modi also dharmic and has humane heart something one wishes swamy shall have someday the line that divides chanakya and shakuni dharma modi chanakya and chowkidar but drswamy,positive
let state govt handle law and order why drag modi resolve street fights ,negative
yes nincompoop just nazi bjp politicising balakot raids test have stopped terror raids our citizens maam how educated person like nirmala live with gross brazen corruption lynchings your party cadre lies from modi shah every day ,positive
rozi roti sawaal hai modiji his blood his dna shud read modichalisa now  meanwhile rajdeep shud also take the cases strongly which bjp rss men killed and love jihad that happens down south  show some class journalism rajjo,positive
dear son manak much good role media making modi hero for his honesty honest person not chormahachor,positive
ofcourse mein bhi choukidaar apne desh have proud first choukidaar narendra modi,positive
after jordan india the worlds most intolerant country you ever feel any shame shushma and modi  ,positive
still looking you produce some autocratic monger norm that really hampered india how turned kimjong hitler wake dear this india what most powerful politician nehru most daring indira and most seat winner rajiv dare not most hated modi will ,positive
seems have more confidence modi than usual bhakts ,positive
will good for nation modi becomes forever,positive
the country needs this fascist modi cant allowed continue loot indians need govt under that will work for common man,negative
congress has always attempted empower people giving right information work food education modi ruthlessly snatched away these rights ,negative
good read ,positive
friends dont waste time tts can convince more neutral voters vote for bjpmodi the same time instead,positive
ratan tata lavishes praise modi says will deliver new india ,positive
wish modi too wins with land sliding victory india,positive
renee  absolutely right about ndtv everything truth which have written about also like zee news coz whatever shows shows fact wont false say ndtv antimodi chennai  jai hind jai bharat ,negative
apke yar modi message our people celebrate pakistan day believe time begin comprehensive dialogue with india address resolve all issues esp the central issue kashmir forge new relationship based peace prosperity for all our people,positive
haha congress going gaga over this after looting from air land east west land currency they are accusing bjp looting template this the change modi brought ,positive
the insolvency and bankruptcy code the second most important economic reform the writes here’ why didn’ take the top spot ,positive
asshole bahujan radical marxist grow brain knowunderstand that congress bjp represent the same fucking caste oppressors that your ilk wasnt dalitbahujanadivasis who have ruled this country for the past years and ask chowkidar modi ,negative
growth story indian economy during modi regime reflects serious concerns gst collections below the estimated target investment fell year low last quarter unemployment rate year high indias rank down 140 happiness index report ,negative
bjps chanakya work this very ruthless attitude the modishah duo ❤,negative
thats the truth but not the whole truth the whole truth even bjp has been working cong agenda via their mole the party and tons molebureaucrats that modi didnt fire day despite repeated warnings from swamy bjpaap are just shorter spellings congress,positive
bjp now furious bcs your design reap big electoral dividend out pulwama bursted off due failure modi smartness imran nvr exptd that will retaliate the day light abi captive that’ war expected happens don’ make war for elections,positive
congratulations madam hope win biggest margin and make next govt stronger,positive
modi for greater india our vote goes modi,positive
must little more vocal ram mandir art 370 etc voting bjp with heavy heart for want better alternative,positive
ratan tata lavishes praise narendra modi says will deliver new india ,positive
rajasthan governor kalyan singh aligarh 23rd march all are bjp workers and want the bjp emerge victorious want that once again modi should become the important for the country ,positive
and kindly dont compare modi jee butcher gujrat and imran khan,positive
cji ban elecation and paper currency when there was independence only years lease signed fake queens victoria and elizabeth and her mafia govt fake pms nehru fake chaiwal modi and amit shah scams nuclear and rafale and demonetisation looted wwi mahabharat ,negative
are cleaning the defecation four generation from nehru rahul how can visible fast this senseless lady speaks our forefathers has led best their life and this generation suffering because modi,positive
this guy truely something else ,positive
the star campaigner myth bjp lost more than assembly constituencies where narendra modi campaigned during recent 5state polls ,positive
just like fake gandhi’ fake modi’ will there,negative
congress party and its desire make powerful only nehrugandhi family put brake india development modi govt has disengaged the brake now,positive
india  uae  relationship has been great success story government vision leadership sheikh mohammed bin zayed prime minister modi slowly but surely taking shape ,positive
inc doing better with modishah the helm bjp not poaching experienced inc leaders fill their own lacunae  far dynasty word concerned have hard look within bjp for bail despite powerful yrs bjp could only manage much  ,positive
still hybernatingur frnd nirav modi got arrested ths modiji india kya bahar bhi haath dalakar kar dabochenge true national eader modijia bimbo profession reality read sum news will definitey give competition dumbnes,positive
one other thing the campaign will now start well get feel for the whole thing soon modi the campaign trail formidable opponent but think bjps messaging has multipronged cant just modi the messiah messaging,positive
prime minister narendra modi has urged voters across the country turn large numbers vote the upcoming lok sabha elections series tweets modi said ,positive
anyone better than modi when nehruji expired said there was alternative but shastiji proved was the best ever everybody including modi dispensible,positive
dont think you bought anything why whining elections are the card let people decide whether they want buy from modi not and dont blame evms 23rd may eci has clearly said yhat elections will held using evms dont vote you dont trust evm,positive
will not wear heart while vote this timechances heart failure,negative
support with leader honble prime minister narendra modi for new india ,positive
modi bjp indians never played any victim card the called lsl who choose fool people the name journalism liberalism play this card see digested when called intolerant you all still talking butcher called cattel class,negative
idiot ever heard the russian sukhoi mki the best jet iaf has its fleet currently built indigenously hal for our air force farzi deshbhakts like you wont even hesitate shit our own company defend your baap modi pathetic,negative
this time blind faith modi… absolute hate for congress milind deora elections news the indian express ,negative
some times for political mileage leaders but good signal from modi jee how any body object pakistans birth day congratulation not given from india then you can scold,positive
and also need modi for minimum years fix many pending issues,positive
women are powerful nature wat hinduism states have every right choose our partners dress etc women has respected man should taught have self control ardhanaariswara avatar states how wife should treated and where she belongs,positive
while busy articulating the way ahead for the nation way alleviate farmers woes unemployment improving funding for health and education modi busy selling tshirts twitter his sidekick busy selling bigotry fake nationalism looks good,positive
jingoism cong mediaval think tank few armchair politico that party made runing prospect electoral fiasco they made sure modi full power this time best wishes the kamdaar chowkidaar sir,positive
read the truth behind how modi selling off indias last remaining precious forests two days ago bhakts chor chowkidar were abusing for sharing this story its time wake and raise our voice save this goldmine biodiversity ,positive
lol who gonna marry her hippopotamus every unmarried men become hitler and modi unmarrieddivorced women become feminists with agenda destroy everyones peaceful life get life miss marvi ,positive
modi the countryhe worked chaiwala not chowkidarbut thanks the corrupt fraudulent activities etc had take the avatar,negative
while the modi busy dismantling our democracy congress president rahul gandhi has done everything his power fight for the rights every citizen uphold our democratic spirit ,positive
congress will simplify the gabbar singh tax implemented modi government implement actual single slab gst benefit the medium and small businesses which have been destroyed gabbar singh tax ,negative
thanks for your tweet but even then you can’ beat modi @ hustings,positive
will give modi whistle and cap wants chowkidar akbaruddin owaisi ,positive
havent read your answer yet but sure its trump modi even leader can darpok who cant even sign the setu file gathering dust his desk for last years even leader now will read your answer  ,positive
modi the countryhe worked chaiwala not chowkidarbut thanks the corrupt fraudulent activities etc had take the avatar ,negative
logic word will defy them foreverusa was economically militarily scientifically superior most the nations 2016 but when fool said make america great again percent fools agreed that without counter questionthese modi clans are similar,positive
want modi sir prime minister for long time now proved that including him too many people are against modi sir his thinking proved that thinking only for himself and his benefit,positive
his apprehension his real gut feeling stemmed from ground realities its for sure modi will india for long years come,positive
congress years wasnt able complete one rafale deal bjp its years has already completed the rafale deal delivery rafales will start sept 2019 has already started proceedings for another fighter jet deal but congress will say that modi has hacked evms ,positive
dirty politics start and doo whatever can too against modi papu raffles raffles fail chokdar chor chor chor chor chor machyee soor aur abb apne ristdaar mare hai 300 proof chayee ,negative
chowkidar hee chor hain baap chor beta bada chor aur unke gujju dost maa tukdo kharidne jurrat bhi kartein hain sab chor hain aaj bjp kal nahi high time the junta realises what bjp upto one more time modi and will only have remains ाेशबचा ,positive
and hope hindustan will over take all other countries the field scientific technology coming days possible modi there for another 1015 yrs jai hind ,negative
why need modi lead bjp government again 2019 jammu and kashmir police says baramula now free from local terrorists years vote for new india namo again  ,positive
modi had promised congres free hindustan was holding government states three states voted opposition mere lies now penance they had doubted honest man will mandate modiji heavily wash off thier sin had not modi met this promise ,positive
you think was modi behind that accident,negative
rajasthan governor 23rd march all are bjp workers and want the bjp emerge victorious want that once again modi should become the important for the country ,positive
will come india after announcing his resignation today are getting new nirav modi the process,positive
she piggybacked modi wave one knew who she was politically 2014 there’ way she winning 2019 especially when whole bjp nosediving bihar rahul will regain his 25lac majority ‘,positive
intentions clearly not correct javed akhtar ‘modi’ credit ,negative
gawar bhakt jali also your stupid bio says counter fake news and propaganda lmao what narendra modi biopic not propaganda lol,positive
that also means even congress comes power you cannot say congress did great job 20192024 because lot things started and proceeded modi govt please dont forget this future,positive
lol neeha its jus like giving our head butchered those who are not even humans,positive
modi wasnt there ambedkars timebesides learn your own historyignorance blissambedkar came the constituent assemblyvia west bengal aided mondal,positive
thanks anu sharma will vote and make sure people know are motivated vote for modi ,positive
more than billion muslims are not one individual just like all hindus are not genocider modi,positive
modi govt came power late may 2014 sanjay jhaji admitting and accepting the fact that last two years upa govt were bad that people lost jobs,negative
boss you have expressed your views several times over the past few months with heavy heartbut vote with the same heart jara heart halka karo,negative
many brahmins have become chowkidhars ,positive
you can through the subject female dietyit shows how dominant females areso point rights when already are dominant rest the misogynistic crap cooked chauvinistic males ,negative
our toi prestitute pork much pigs owaisi himself publish the same news ,positive
person who can beat modi modi himself just need play old videos ,positive
renowned lyricist not happy with the clarificationclick here know why  ,negative
please vote which below made your life miserable under modi govt ,negative
congress walo baar cunao mei pata lag jayega what modi request you wait and enjoy the moment ,positive
why cant write one single tweet without blaming modi,negative
tongue wagging owaisis’ bash modi that loafers not lawyers when dog wags ’ tail for love loyalty freedom expression has restrictions legal action taken maintain decorum without fear mercy such people party must banned,positive
and mrs koppalatota for namo again walk for namo again@ park mathikere bangalore last saturday many people were joining our team showed their enthusiasm for narendra modi our prime minister again ,positive
and that would modi seriously,negative
yes and its always modi funny guy,positive
she right modi keeping watch these rich and corrupt family and their followers,positive
what happened after modi took off his mic during karan thapar’ famous via ,positive
final days modi government adani project jharkhand becomes indias first power sector sez the decision will save the company billion annually clean energy cess alone ,positive
true but hve also reaffirmed voting allegience each time,positive
very true sir thats why they are against modi sir alliance created for scams and corruption,positive
raghuram rajan sent list high profile bank fraudsters modi early months his office and thereafter some reminders but modi failed act and why narendra modis campaign sheer hypocrisy ,negative
thanks much for endorsing the best qualities modi  ,positive
dnt turn pakistan into india like situation where millions muslims got killed terrorist modi,negative
since modi came power why always feel that rahul gandhi always mute mean just cant hear him ,negative
governor kalyan singh aligarh 23rd march all are workers and want the bjp emerge victorious want that once again modi should become the important for the country ,positive
after going thru all the comedy speeches shri rahul gandhii have come conclusion that his competitor not modi its rakhi sawant self obsessed cannot compare with kapil sharma far better comedian the shri rahul gandhi,positive
modi govt hindus are behaving wildly,positive
poor kejriwal himself predicts modi rule till eternity getting nightmares which sees modi sitting diamond studded golden throne and crying and begging front him after awakening sees himself begging front shiela dikshit,negative
and even print this seriously whats this election modi entire opposition whats their agenda only defeat modi there noone saying anything about nation for ,negative
new post added mumbai press official site producer sandip ssingh turns singer for narendra modi biopic ,positive
can you kindly elaborate the dharma friendly actions modi like rte hunar haat letting ganga tyagis die ayodhya delay etc,positive
why shud convince mat bhaai vote modi will convert mote voters same time namo than convincing opportunist what say sir,positive
see the language chowkidar who are tweeting bhi sab you are bjp problem support modi amit sha but dont use bad laughing the culture rss,negative
dont live denial under modi economy doldrums and jobless growth making the nation edgy agrarian crisis has worsened national security under question after massive intelligence failure pulwama attack embrace change with ,negative
hahahaits like happy with modis leadershipur only worry now will remain forever you want him defeatedhow dumb reason really iit just iti has done well ppl will definitely keep him forever,positive
you ppl deserve bjp modi alway negative for nonsense things about opposition shouting master stroke for every idiotic idea bjp does ‍♂️,negative
demo was black money caught modi did inspite rbi warnings bhakt atleast had the guts then why don’ you elect babu bajrangi had the guts admit stabbing the womb pregnant muslim broad daylight bhakt mute ,positive
airstrikes bhakt modi says ‘had rafale been there the results would’ been different’ true wah modiji wah isn’ that insulting heroes like abhinandan doesn’ that mean the govt has failed this time bhakt you antinational bhaago chale pakistan ,negative
soon new elected this rascal racist extremist murderer should behind the bars modi selected worst ,negative
want see our country becoming superpower thn just vote for only strong govt political will can make our country superpower modi his political will power that will take our country lot forward isliye india ,positive
varanasi loksabha seat against modi aap gives congress congress gives gives bsp bsp candidate joins bjp  too much fun ,positive
pledge your first vote for modi ,positive
look any one says that modi perfect not but course better than having pappu prime minister even congress presented any othe intelligent candidate would have understand even they presented tharoor having murder case would have understan,positive
voters will choose wisely and reject modi who put vikas reverse gear with his disastrous demonetisation and badly executed gst india needs gst reform and experienced best bet ,positive
congress rule enables chaiwalanow chowkidar they didnt allow hatredrss grow how cud modi become the way mind has shrunk there many things that congress has made today all using including the independence,positive
adani upadhyay later middle man who introduced adani modi long back ,negative
anti trying use facts and logic sway the masses are way off base because the electoral base swayed and hatred minorities ,negative
that good the people india nationalists want modi forever elections are waste money and leads more corruption and violence opposition,positive
gujrat model failure and modi lied ,negative
that your ego because you are not ready accept the failures modi,negative
kay bola hoga know modimodimodi will tell one story there was gang chor there act was they visit market and one them chori and pass the iteam next and the first chor only shouting chor chor chor chor papu are like that,positive
shatrughan sinha was far bigger public figure than you are siddiqui bigots and their support not required bjp rant rant and rant much you can wont make any difference modi cant defeated,positive
modi while preparing manifesto include some relief for tax payers high way toll tax current situation for tax payers like double taxation,positive
this hindutva terrorism enjoys the tacit support the modi government overwhelming majority antimuslim lynchings have occurred since 2014 with many attackers acquittedbrutality aginst muslim families india ,positive
subbu with you swamy right thinks has right order get work done from chowkidar let modi his blind bhakts put pakodawala chaiwala jamadaar its their wish exercise our freedom appointed chowkidar can sack him too ,positive
some ppl gone crazy after modi came ,negative
why modi have not held single press conference why can’ speak and answer the questions why only false speeches public conference this not what looking forward our prime minister  ,negative
again agenda only defeat bjp could have told them about development agenda health care there are many issues but they only have one defeat modi,positive
drswamys timesnow last year debate nearly million views the modis 2017 timesnow interview has million views,positive
trump lets make america great lets make china superpower modi lets make everyone ,positive
hihihi balancing act blame modi even not remotely linked,positive
rahul gandhi inherently transparent honest and identifies with every indian with him lies hypocrisy falsehood modi rule will thing past ,positive
modi boasting about digital had wait for more than deposit cash ₹50000 sbi mahim had deposited 5th mar butch was not honoured being old format now have applied for beech book may take week how deposit ppf before mar,positive
can you please verify this tweet claiming bjp leaders forced nirav modi flee india ,negative
just imagine how much karnatakas economy would have flourished under modis leadership ,positive
remember bjp hindu party and they are moving very cautiously that there turmoil major proportion topple development agenda,positive
fools and inexperienced are damaging more and ruling lessmodi hatao and india bachao ,positive
ratan tata optimistic and praised modis leadership for new india,positive
the arrest nirav modi and the rule law ,negative
deram make new india and make our country super power world but all this politceants congresssp aapjds agenda the election stop modi they dont have any agend development then why you guys vote them ,positive
mother was the most troubled one during demonotization she used joke jitna bacha rakha tha sab modi jama kara diye today when bank the manager told that you are eligible for 2000 all got was blessings and more blessings ,positive
country like india where youth and peoples are thinking about rise above and growth our modi spreading idea selling pakoda and becoming chowkidar definitly has distressed many peoples,positive
deserves punishment for his hate speeches ,negative
this what has led global rise and why discontent fanned social media giving impetus populist leaders brilliant essay the london school economics ,positive
gaali politics returns now andhra pradesh chandrababu naidu calls narendra modi quotdemonquot looks demon for all corrupt gaddar netas,negative
hahathis salmasabrina with flavor and twistsociopath salma says modi govt cares for the rich ignoresrobs the poor sabrina vadri quotes like maos red book quotations ,negative
almost 4000 crore spent but the ganga more polluted under modis watch ,positive
dont worry minister indian muslims are developed much better life live standard life than pakistan you dont fear for modi your cheap tweet about our government,positive
why pakistan crying name modi every day how nations support india airstrike why was not after 2611 why there was electrification thousands villages after independence how indian economy became 6th largest economy world years,negative
kamal haasan takes chowkidar modi kamal haasan modi rich mans guard stopping poor people from entering,negative
